,predicted_mean
2025-02-24,-7.07e-322
2025-02-25,-9.04e-322
2025-02-26,-9.83e-322
2025-02-27,-1.17e-321
2025-02-28,-1.294e-321
2025-03-01,-1.38e-321
2025-03-02,-1.453e-321
2025-03-03,-1.537e-321
2025-03-04,-1.58e-321
2025-03-05,-1.625e-321
2025-03-06,-1.665e-321
2025-03-07,-1.695e-321
2025-03-08,-1.72e-321
2025-03-09,-1.744e-321
2025-03-10,-1.764e-321
2025-03-11,-1.78e-321
2025-03-12,-1.79e-321
2025-03-13,-1.8e-321
2025-03-14,-1.81e-321
2025-03-15,-1.813e-321
2025-03-16,-1.813e-321
2025-03-17,-1.813e-321
2025-03-18,-1.813e-321
2025-03-19,-1.813e-321
2025-03-20,-1.813e-321
2025-03-21,-1.813e-321
2025-03-22,-1.813e-321
2025-03-23,-1.813e-321
2025-03-24,-1.813e-321
2025-03-25,-1.813e-321
