,predicted_mean
2025-02-24,1.53e-322
2025-02-25,1.83e-322
2025-02-26,3.16e-322
2025-02-27,4e-322
2025-02-28,4.25e-322
2025-03-01,4.55e-322
2025-03-02,5.14e-322
2025-03-03,5.43e-322
2025-03-04,5.7e-322
2025-03-05,5.93e-322
2025-03-06,6.2e-322
2025-03-07,6.3e-322
2025-03-08,6.4e-322
2025-03-09,6.57e-322
2025-03-10,6.67e-322
2025-03-11,6.8e-322
2025-03-12,6.87e-322
2025-03-13,6.97e-322
2025-03-14,7.07e-322
2025-03-15,7.1e-322
2025-03-16,7.16e-322
2025-03-17,7.26e-322
2025-03-18,7.3e-322
2025-03-19,7.3e-322
2025-03-20,7.36e-322
2025-03-21,7.4e-322
2025-03-22,7.4e-322
2025-03-23,7.4e-322
2025-03-24,7.4e-322
2025-03-25,7.4e-322
