Date,HW_Forecast
2025-02-24,3.3365947486266396e-06
2025-02-25,2.1229734426911876e-06
2025-02-26,8.643132016707784e-07
2025-02-27,-1.973941968536289e-06
2025-02-28,2.874020693298684e-07
2025-03-01,7.860445512024592e-07
2025-03-02,-3.937422048735827e-09
2025-03-03,3.3365947486266396e-06
2025-03-04,2.1229734426911876e-06
2025-03-05,8.643132016707784e-07
2025-03-06,-1.973941968536289e-06
2025-03-07,2.874020693298684e-07
2025-03-08,7.860445512024592e-07
2025-03-09,-3.937422048735827e-09
2025-03-10,3.3365947486266396e-06
2025-03-11,2.1229734426911876e-06
2025-03-12,8.643132016707784e-07
2025-03-13,-1.973941968536289e-06
2025-03-14,2.874020693298684e-07
2025-03-15,7.860445512024592e-07
2025-03-16,-3.937422048735827e-09
2025-03-17,3.3365947486266396e-06
2025-03-18,2.1229734426911876e-06
2025-03-19,8.643132016707784e-07
2025-03-20,-1.973941968536289e-06
2025-03-21,2.874020693298684e-07
2025-03-22,7.860445512024592e-07
2025-03-23,-3.937422048735827e-09
2025-03-24,3.3365947486266396e-06
2025-03-25,2.1229734426911876e-06
