Date,HW_Forecast
2025-02-24,-7.00965636044958e-07
2025-02-25,-3.591421343945736e-08
2025-02-26,3.7811837614002173e-07
2025-02-27,-7.712027451179184e-07
2025-02-28,-5.246835292675939e-08
2025-03-01,1.0512004429201157e-07
2025-03-02,-1.5664078649620106e-15
2025-03-03,-7.00965636044958e-07
2025-03-04,-3.591421343945736e-08
2025-03-05,3.7811837614002173e-07
2025-03-06,-7.712027451179184e-07
2025-03-07,-5.246835292675939e-08
2025-03-08,1.0512004429201157e-07
2025-03-09,-1.5664078649620106e-15
2025-03-10,-7.00965636044958e-07
2025-03-11,-3.591421343945736e-08
2025-03-12,3.7811837614002173e-07
2025-03-13,-7.712027451179184e-07
2025-03-14,-5.246835292675939e-08
2025-03-15,1.0512004429201157e-07
2025-03-16,-1.5664078649620106e-15
2025-03-17,-7.00965636044958e-07
2025-03-18,-3.591421343945736e-08
2025-03-19,3.7811837614002173e-07
2025-03-20,-7.712027451179184e-07
2025-03-21,-5.246835292675939e-08
2025-03-22,1.0512004429201157e-07
2025-03-23,-1.5664078649620106e-15
2025-03-24,-7.00965636044958e-07
2025-03-25,-3.591421343945736e-08
