,predicted_mean
2025-02-24,-3.551255e-318
2025-02-25,-3.677513e-318
2025-02-26,-2.53233e-318
2025-02-27,-2.42775e-318
2025-02-28,-2.138034e-318
2025-03-01,-2.074745e-318
2025-03-02,-2.382864e-318
2025-03-03,-2.43644e-318
2025-03-04,-2.514715e-318
2025-03-05,-2.539354e-318
2025-03-06,-2.45723e-318
2025-03-07,-2.435887e-318
2025-03-08,-2.414183e-318
2025-03-09,-2.40554e-318
2025-03-10,-2.42723e-318
2025-03-11,-2.43484e-318
2025-03-12,-2.44101e-318
2025-03-13,-2.443876e-318
2025-03-14,-2.438204e-318
2025-03-15,-2.43566e-318
2025-03-16,-2.433866e-318
2025-03-17,-2.43294e-318
2025-03-18,-2.43441e-318
2025-03-19,-2.435225e-318
2025-03-20,-2.43575e-318
2025-03-21,-2.436035e-318
2025-03-22,-2.435665e-318
2025-03-23,-2.43541e-318
2025-03-24,-2.43525e-318
2025-03-25,-2.435166e-318
