,predicted_mean
2025-02-24,-2.57e-322
2025-02-25,-2.47e-322
2025-02-26,-3.6e-322
2025-02-27,-3.95e-322
2025-02-28,-4.35e-322
2025-03-01,-4.9e-322
2025-03-02,-5.14e-322
2025-03-03,-5.53e-322
2025-03-04,-5.83e-322
2025-03-05,-6.1e-322
2025-03-06,-6.37e-322
2025-03-07,-6.57e-322
2025-03-08,-6.77e-322
2025-03-09,-7e-322
2025-03-10,-7.2e-322
2025-03-11,-7.4e-322
2025-03-12,-7.56e-322
2025-03-13,-7.7e-322
2025-03-14,-7.86e-322
2025-03-15,-8e-322
2025-03-16,-8.15e-322
2025-03-17,-8.3e-322
2025-03-18,-8.45e-322
2025-03-19,-8.6e-322
2025-03-20,-8.74e-322
2025-03-21,-8.9e-322
2025-03-22,-9.04e-322
2025-03-23,-9.2e-322
2025-03-24,-9.34e-322
2025-03-25,-9.5e-322
