,predicted_mean
2025-02-24,-7.931326423683837e-98
2025-02-25,-6.577911753394338e-98
2025-02-26,-7.916131674024583e-98
2025-02-27,-8.359533740280501e-98
2025-02-28,-8.652040899362153e-98
2025-03-01,-1.0226058001209986e-97
2025-03-02,-9.850474450704732e-98
2025-03-03,-1.0432902364526652e-97
2025-03-04,-1.0546335945014366e-97
2025-03-05,-1.0686986254754922e-97
2025-03-06,-1.1018772147687402e-97
2025-03-07,-1.0948459206596184e-97
2025-03-08,-1.1134889073557082e-97
2025-03-09,-1.1156150022208964e-97
2025-03-10,-1.1210766881543829e-97
2025-03-11,-1.1283347953024664e-97
2025-03-12,-1.1275552832174125e-97
2025-03-13,-1.1328441903762331e-97
2025-03-14,-1.1332413280106069e-97
2025-03-15,-1.135141906330948e-97
2025-03-16,-1.1367625232980464e-97
2025-03-17,-1.1368685256016869e-97
2025-03-18,-1.1382814989629142e-97
2025-03-19,-1.1383834514078454e-97
2025-03-20,-1.1389948128959869e-97
2025-03-21,-1.1393633860309352e-97
2025-03-22,-1.1394750627600576e-97
2025-03-23,-1.139840408377598e-97
2025-03-24,-1.1398778851951086e-97
2025-03-25,-1.1400633937275256e-97
