,predicted_mean
2025-02-24,4.534171229532275e-39
2025-02-25,2.6746557962358353e-39
2025-02-26,2.943237467052034e-39
2025-02-27,5.1906958184859894e-39
2025-02-28,6.693566464919477e-39
2025-03-01,8.329274859135761e-39
2025-03-02,1.0404169326925204e-38
2025-03-03,1.2425948548846477e-38
2025-03-04,1.4395921956120227e-38
2025-03-05,1.6385841392013833e-38
2025-03-06,1.8315094960297883e-38
2025-03-07,2.0154238167306226e-38
2025-03-08,2.1910614175786257e-38
2025-03-09,2.357195210025605e-38
2025-03-10,2.5129761950657137e-38
2025-03-11,2.658540606274032e-38
2025-03-12,2.7939698156023657e-38
2025-03-13,2.9193991664124287e-38
2025-03-14,3.0351967279571976e-38
2025-03-15,3.1417975130255315e-38
2025-03-16,3.239660463925364e-38
2025-03-17,3.3292911521423405e-38
2025-03-18,3.4112131669334814e-38
2025-03-19,3.485947033501819e-38
2025-03-20,3.5540072852677545e-38
2025-03-21,3.615895360139989e-38
2025-03-22,3.67209263988943e-38
2025-03-23,3.723057737035061e-38
2025-03-24,3.7692245838049445e-38
2025-03-25,3.811000893995583e-38
