,predicted_mean
2025-02-24,-7.76e-322
2025-02-25,-9.83e-322
2025-02-26,-8.5e-322
2025-02-27,-1.097e-321
2025-02-28,-1.16e-321
2025-03-01,-1.12e-321
2025-03-02,-1.19e-321
2025-03-03,-1.215e-321
2025-03-04,-1.255e-321
2025-03-05,-1.28e-321
2025-03-06,-1.29e-321
2025-03-07,-1.31e-321
2025-03-08,-1.324e-321
2025-03-09,-1.33e-321
2025-03-10,-1.34e-321
2025-03-11,-1.344e-321
2025-03-12,-1.35e-321
2025-03-13,-1.35e-321
2025-03-14,-1.35e-321
2025-03-15,-1.35e-321
2025-03-16,-1.35e-321
2025-03-17,-1.35e-321
2025-03-18,-1.35e-321
2025-03-19,-1.35e-321
2025-03-20,-1.35e-321
2025-03-21,-1.35e-321
2025-03-22,-1.35e-321
2025-03-23,-1.35e-321
2025-03-24,-1.35e-321
2025-03-25,-1.35e-321
