Date,HW_Forecast
2025-02-24,-2.5286077117844904e-05
2025-02-25,-6.817142491442272e-05
2025-02-26,-1.1530128594402926e-05
2025-02-27,-2.307017396655522e-05
2025-02-28,-8.951197202669558e-06
2025-03-01,-6.514880284550171e-06
2025-03-02,3.279978477521047e-08
2025-03-03,-2.5286077117844904e-05
2025-03-04,-6.817142491442272e-05
2025-03-05,-1.1530128594402926e-05
2025-03-06,-2.307017396655522e-05
2025-03-07,-8.951197202669558e-06
2025-03-08,-6.514880284550171e-06
2025-03-09,3.279978477521047e-08
2025-03-10,-2.5286077117844904e-05
2025-03-11,-6.817142491442272e-05
2025-03-12,-1.1530128594402926e-05
2025-03-13,-2.307017396655522e-05
2025-03-14,-8.951197202669558e-06
2025-03-15,-6.514880284550171e-06
2025-03-16,3.279978477521047e-08
2025-03-17,-2.5286077117844904e-05
2025-03-18,-6.817142491442272e-05
2025-03-19,-1.1530128594402926e-05
2025-03-20,-2.307017396655522e-05
2025-03-21,-8.951197202669558e-06
2025-03-22,-6.514880284550171e-06
2025-03-23,3.279978477521047e-08
2025-03-24,-2.5286077117844904e-05
2025-03-25,-6.817142491442272e-05
