,predicted_mean
2025-02-24,-2.67e-322
2025-02-25,-3.85e-322
2025-02-26,-5.6e-322
2025-02-27,-7.16e-322
2025-02-28,-8.45e-322
2025-03-01,-9.7e-322
2025-03-02,-1.08e-321
2025-03-03,-1.176e-321
2025-03-04,-1.255e-321
2025-03-05,-1.314e-321
2025-03-06,-1.364e-321
2025-03-07,-1.403e-321
2025-03-08,-1.44e-321
2025-03-09,-1.467e-321
2025-03-10,-1.49e-321
2025-03-11,-1.52e-321
2025-03-12,-1.55e-321
2025-03-13,-1.58e-321
2025-03-14,-1.61e-321
2025-03-15,-1.64e-321
2025-03-16,-1.67e-321
2025-03-17,-1.7e-321
2025-03-18,-1.73e-321
2025-03-19,-1.76e-321
2025-03-20,-1.79e-321
2025-03-21,-1.82e-321
2025-03-22,-1.85e-321
2025-03-23,-1.877e-321
2025-03-24,-1.907e-321
2025-03-25,-1.937e-321
