,predicted_mean
2025-02-24,-2.67e-322
2025-02-25,-2.67e-322
2025-02-26,-2.67e-322
2025-02-27,-2.67e-322
2025-02-28,-2.67e-322
2025-03-01,-2.67e-322
2025-03-02,-2.67e-322
2025-03-03,-2.67e-322
2025-03-04,-2.67e-322
2025-03-05,-2.67e-322
2025-03-06,-2.67e-322
2025-03-07,-2.67e-322
2025-03-08,-2.67e-322
2025-03-09,-2.67e-322
2025-03-10,-2.67e-322
2025-03-11,-2.67e-322
2025-03-12,-2.67e-322
2025-03-13,-2.67e-322
2025-03-14,-2.67e-322
2025-03-15,-2.67e-322
2025-03-16,-2.67e-322
2025-03-17,-2.67e-322
2025-03-18,-2.67e-322
2025-03-19,-2.67e-322
2025-03-20,-2.67e-322
2025-03-21,-2.67e-322
2025-03-22,-2.67e-322
2025-03-23,-2.67e-322
2025-03-24,-2.67e-322
2025-03-25,-2.67e-322
