Date,HW_Forecast
2025-02-24,2.095431600164483e-07
2025-02-25,-1.8592415433330546e-06
2025-02-26,-1.828788851905277e-07
2025-02-27,1.3131665639091521e-06
2025-02-28,2.2625001057519427e-06
2025-03-01,2.0933352305991518e-06
2025-03-02,-1.052332284576266e-08
2025-03-03,2.095431600164483e-07
2025-03-04,-1.8592415433330546e-06
2025-03-05,-1.828788851905277e-07
2025-03-06,1.3131665639091521e-06
2025-03-07,2.2625001057519427e-06
2025-03-08,2.0933352305991518e-06
2025-03-09,-1.052332284576266e-08
2025-03-10,2.095431600164483e-07
2025-03-11,-1.8592415433330546e-06
2025-03-12,-1.828788851905277e-07
2025-03-13,1.3131665639091521e-06
2025-03-14,2.2625001057519427e-06
2025-03-15,2.0933352305991518e-06
2025-03-16,-1.052332284576266e-08
2025-03-17,2.095431600164483e-07
2025-03-18,-1.8592415433330546e-06
2025-03-19,-1.828788851905277e-07
2025-03-20,1.3131665639091521e-06
2025-03-21,2.2625001057519427e-06
2025-03-22,2.0933352305991518e-06
2025-03-23,-1.052332284576266e-08
2025-03-24,2.095431600164483e-07
2025-03-25,-1.8592415433330546e-06
