,predicted_mean
2025-02-24,-2.57e-322
2025-02-25,-3.95e-322
2025-02-26,-3.56e-322
2025-02-27,-4.15e-322
2025-02-28,-4.45e-322
2025-03-01,-4.94e-322
2025-03-02,-4.94e-322
2025-03-03,-5.04e-322
2025-03-04,-5.14e-322
2025-03-05,-5.34e-322
2025-03-06,-5.43e-322
2025-03-07,-5.53e-322
2025-03-08,-5.63e-322
2025-03-09,-5.73e-322
2025-03-10,-5.83e-322
2025-03-11,-5.93e-322
2025-03-12,-6.03e-322
2025-03-13,-6.13e-322
2025-03-14,-6.23e-322
2025-03-15,-6.3e-322
2025-03-16,-6.4e-322
2025-03-17,-6.5e-322
2025-03-18,-6.6e-322
2025-03-19,-6.7e-322
2025-03-20,-6.8e-322
2025-03-21,-6.9e-322
2025-03-22,-7e-322
2025-03-23,-7.1e-322
2025-03-24,-7.2e-322
2025-03-25,-7.3e-322
