Date,HW_Forecast
2025-02-24,-4.096504579286116e-05
2025-02-25,7.346600177501372e-05
2025-02-26,-3.391351570734677e-05
2025-02-27,-1.7665473445576093e-05
2025-02-28,1.1444989276639612e-05
2025-03-01,4.22807561595843e-06
2025-03-02,-2.1420809532574572e-08
2025-03-03,-4.096504579286116e-05
2025-03-04,7.346600177501372e-05
2025-03-05,-3.391351570734677e-05
2025-03-06,-1.7665473445576093e-05
2025-03-07,1.1444989276639612e-05
2025-03-08,4.22807561595843e-06
2025-03-09,-2.1420809532574572e-08
2025-03-10,-4.096504579286116e-05
2025-03-11,7.346600177501372e-05
2025-03-12,-3.391351570734677e-05
2025-03-13,-1.7665473445576093e-05
2025-03-14,1.1444989276639612e-05
2025-03-15,4.22807561595843e-06
2025-03-16,-2.1420809532574572e-08
2025-03-17,-4.096504579286116e-05
2025-03-18,7.346600177501372e-05
2025-03-19,-3.391351570734677e-05
2025-03-20,-1.7665473445576093e-05
2025-03-21,1.1444989276639612e-05
2025-03-22,4.22807561595843e-06
2025-03-23,-2.1420809532574572e-08
2025-03-24,-4.096504579286116e-05
2025-03-25,7.346600177501372e-05
