,predicted_mean
2025-02-24,5.865e-321
2025-02-25,6.7e-321
2025-02-26,8.864e-321
2025-02-27,8.127e-321
2025-02-28,9.86e-321
2025-03-01,1.096e-320
2025-03-02,1.152e-320
2025-03-03,1.2357e-320
2025-03-04,1.2767e-320
2025-03-05,1.334e-320
2025-03-06,1.3863e-320
2025-03-07,1.425e-320
2025-03-08,1.4634e-320
2025-03-09,1.4945e-320
2025-03-10,1.524e-320
2025-03-11,1.5514e-320
2025-03-12,1.5736e-320
2025-03-13,1.5943e-320
2025-03-14,1.6126e-320
2025-03-15,1.629e-320
2025-03-16,1.6433e-320
2025-03-17,1.6556e-320
2025-03-18,1.6665e-320
2025-03-19,1.6764e-320
2025-03-20,1.6858e-320
2025-03-21,1.693e-320
2025-03-22,1.7e-320
2025-03-23,1.7065e-320
2025-03-24,1.712e-320
2025-03-25,1.717e-320
