,predicted_mean
2025-02-24,-8.201667904936157e-220
2025-02-25,-8.554326797853666e-220
2025-02-26,-8.358119310257514e-220
2025-02-27,-8.537024014271633e-220
2025-02-28,-1.0669819028137441e-219
2025-03-01,-1.255329295221519e-219
2025-03-02,-1.260580473158528e-219
2025-03-03,-1.2615725427345205e-219
2025-03-04,-1.3246343866170138e-219
2025-03-05,-1.4204110884142447e-219
2025-03-06,-1.4635344169574367e-219
2025-03-07,-1.4657626280973977e-219
2025-03-08,-1.483483448117755e-219
2025-03-09,-1.5230295546567755e-219
2025-03-10,-1.5553950598907224e-219
2025-03-11,-1.565748631084974e-219
2025-03-12,-1.5713297197762402e-219
2025-03-13,-1.5859546954103265e-219
2025-03-14,-1.6032652269117257e-219
2025-03-15,-1.613177152359107e-219
2025-03-16,-1.6171002481432203e-219
2025-03-17,-1.6223562507660107e-219
2025-03-18,-1.6302244869194245e-219
2025-03-19,-1.636681523412834e-219
2025-03-20,-1.6399575236841502e-219
2025-03-21,-1.6422907462096608e-219
2025-03-22,-1.645582693946385e-219
2025-03-23,-1.6490452327968505e-219
2025-03-24,-1.6513542962260474e-219
2025-03-25,-1.6527264073606987e-219
