Date,HW_Forecast
2025-02-24,3.919219179766633e-06
2025-02-25,6.666909578933524e-06
2025-02-26,-1.1583354347592486e-05
2025-02-27,-7.085047956397142e-06
2025-02-28,3.947663336089635e-06
2025-03-01,4.415449267419669e-06
2025-03-02,-2.217533376819207e-08
2025-03-03,3.919219179766633e-06
2025-03-04,6.666909578933524e-06
2025-03-05,-1.1583354347592486e-05
2025-03-06,-7.085047956397142e-06
2025-03-07,3.947663336089635e-06
2025-03-08,4.415449267419669e-06
2025-03-09,-2.217533376819207e-08
2025-03-10,3.919219179766633e-06
2025-03-11,6.666909578933524e-06
2025-03-12,-1.1583354347592486e-05
2025-03-13,-7.085047956397142e-06
2025-03-14,3.947663336089635e-06
2025-03-15,4.415449267419669e-06
2025-03-16,-2.217533376819207e-08
2025-03-17,3.919219179766633e-06
2025-03-18,6.666909578933524e-06
2025-03-19,-1.1583354347592486e-05
2025-03-20,-7.085047956397142e-06
2025-03-21,3.947663336089635e-06
2025-03-22,4.415449267419669e-06
2025-03-23,-2.217533376819207e-08
2025-03-24,3.919219179766633e-06
2025-03-25,6.666909578933524e-06
