Date,HW_Forecast
2025-02-24,7.834971749971023e-06
2025-02-25,5.942797693127676e-06
2025-02-26,6.512685689214921e-06
2025-02-27,1.1142185960077948e-05
2025-02-28,5.943344865106052e-06
2025-03-01,-2.497607966878467e-06
2025-03-02,3.721780269226333e-14
2025-03-03,7.834971749971023e-06
2025-03-04,5.942797693127676e-06
2025-03-05,6.512685689214921e-06
2025-03-06,1.1142185960077948e-05
2025-03-07,5.943344865106052e-06
2025-03-08,-2.497607966878467e-06
2025-03-09,3.721780269226333e-14
2025-03-10,7.834971749971023e-06
2025-03-11,5.942797693127676e-06
2025-03-12,6.512685689214921e-06
2025-03-13,1.1142185960077948e-05
2025-03-14,5.943344865106052e-06
2025-03-15,-2.497607966878467e-06
2025-03-16,3.721780269226333e-14
2025-03-17,7.834971749971023e-06
2025-03-18,5.942797693127676e-06
2025-03-19,6.512685689214921e-06
2025-03-20,1.1142185960077948e-05
2025-03-21,5.943344865106052e-06
2025-03-22,-2.497607966878467e-06
2025-03-23,3.721780269226333e-14
2025-03-24,7.834971749971023e-06
2025-03-25,5.942797693127676e-06
