,predicted_mean
2025-02-24,3.6e-322
2025-02-25,3.36e-322
2025-02-26,4.35e-322
2025-02-27,4.55e-322
2025-02-28,4.94e-322
2025-03-01,5.1e-322
2025-03-02,5.34e-322
2025-03-03,5.5e-322
2025-03-04,5.6e-322
2025-03-05,5.63e-322
2025-03-06,5.7e-322
2025-03-07,5.73e-322
2025-03-08,5.73e-322
2025-03-09,5.73e-322
2025-03-10,5.73e-322
2025-03-11,5.73e-322
2025-03-12,5.73e-322
2025-03-13,5.73e-322
2025-03-14,5.73e-322
2025-03-15,5.73e-322
2025-03-16,5.73e-322
2025-03-17,5.73e-322
2025-03-18,5.73e-322
2025-03-19,5.73e-322
2025-03-20,5.73e-322
2025-03-21,5.73e-322
2025-03-22,5.73e-322
2025-03-23,5.73e-322
2025-03-24,5.73e-322
2025-03-25,5.73e-322
