Date,HW_Forecast
2025-02-24,2.4470596906332824e-06
2025-02-25,2.6229750485140095e-07
2025-02-26,-4.780696367348622e-07
2025-02-27,2.9058785744055932e-08
2025-02-28,2.2539193394054845e-06
2025-03-01,-6.098923538201265e-08
2025-03-02,9.088104482293455e-16
2025-03-03,2.4470596906332824e-06
2025-03-04,2.6229750485140095e-07
2025-03-05,-4.780696367348622e-07
2025-03-06,2.9058785744055932e-08
2025-03-07,2.2539193394054845e-06
2025-03-08,-6.098923538201265e-08
2025-03-09,9.088104482293455e-16
2025-03-10,2.4470596906332824e-06
2025-03-11,2.6229750485140095e-07
2025-03-12,-4.780696367348622e-07
2025-03-13,2.9058785744055932e-08
2025-03-14,2.2539193394054845e-06
2025-03-15,-6.098923538201265e-08
2025-03-16,9.088104482293455e-16
2025-03-17,2.4470596906332824e-06
2025-03-18,2.6229750485140095e-07
2025-03-19,-4.780696367348622e-07
2025-03-20,2.9058785744055932e-08
2025-03-21,2.2539193394054845e-06
2025-03-22,-6.098923538201265e-08
2025-03-23,9.088104482293455e-16
2025-03-24,2.4470596906332824e-06
2025-03-25,2.6229750485140095e-07
