Date,HW_Forecast
2025-02-24,-9.937462209896198e-06
2025-02-25,-2.1613717213597636e-05
2025-02-26,1.2911916385999837e-05
2025-02-27,-1.4267422401678025e-05
2025-02-28,-1.654482841996072e-05
2025-03-01,1.605077648639815e-05
2025-03-02,-4.448556389604701e-07
2025-03-03,-9.937462209896198e-06
2025-03-04,-2.1613717213597636e-05
2025-03-05,1.2911916385999837e-05
2025-03-06,-1.4267422401678025e-05
2025-03-07,-1.654482841996072e-05
2025-03-08,1.605077648639815e-05
2025-03-09,-4.448556389604701e-07
2025-03-10,-9.937462209896198e-06
2025-03-11,-2.1613717213597636e-05
2025-03-12,1.2911916385999837e-05
2025-03-13,-1.4267422401678025e-05
2025-03-14,-1.654482841996072e-05
2025-03-15,1.605077648639815e-05
2025-03-16,-4.448556389604701e-07
2025-03-17,-9.937462209896198e-06
2025-03-18,-2.1613717213597636e-05
2025-03-19,1.2911916385999837e-05
2025-03-20,-1.4267422401678025e-05
2025-03-21,-1.654482841996072e-05
2025-03-22,1.605077648639815e-05
2025-03-23,-4.448556389604701e-07
2025-03-24,-9.937462209896198e-06
2025-03-25,-2.1613717213597636e-05
