,predicted_mean
2025-02-24,8.687358536365938e-38
2025-02-25,1.310527379554546e-37
2025-02-26,1.7847990586989846e-37
2025-02-27,2.242785197553767e-37
2025-02-28,2.5899415155437297e-37
2025-03-01,2.8876140252977047e-37
2025-03-02,3.1363889381187107e-37
2025-03-03,3.3349472622005936e-37
2025-03-04,3.4979094199385917e-37
2025-03-05,3.6303401999641545e-37
2025-03-06,3.7370626638246027e-37
2025-03-07,3.823582965841719e-37
2025-03-08,3.893509361716723e-37
2025-03-09,3.949940825387316e-37
2025-03-10,3.995537427633087e-37
2025-03-11,4.032347129280398e-37
2025-03-12,4.062056032365178e-37
2025-03-13,4.086039439542114e-37
2025-03-14,4.105396227651316e-37
2025-03-15,4.121018353107934e-37
2025-03-16,4.133626850985959e-37
2025-03-17,4.1438024628345885e-37
2025-03-18,4.152014591638731e-37
2025-03-19,4.158642140295474e-37
2025-03-20,4.1639907836061585e-37
2025-03-21,4.168307307554363e-37
2025-03-22,4.171790878356411e-37
2025-03-23,4.174602219569557e-37
2025-03-24,4.17687105219269e-37
2025-03-25,4.178702064348155e-37
