Date,LSTM_Forecast
2025-02-24,-0.012425755
2025-02-25,-0.015690057
2025-02-26,-0.02105228
2025-02-27,-0.02780391
2025-02-28,-0.035531882
2025-03-01,-0.044001114
2025-03-02,-0.053078488
2025-03-03,-0.062686495
2025-03-04,-0.072784476
2025-03-05,-0.08333387
2025-03-06,-0.09431314
2025-03-07,-0.10570649
2025-03-08,-0.117501274
2025-03-09,-0.12968837
2025-03-10,-0.14226134
2025-03-11,-0.15548526
2025-03-12,-0.1690461
2025-03-13,-0.18300138
2025-03-14,-0.19737616
2025-03-15,-0.2121814
2025-03-16,-0.2274234
2025-03-17,-0.2431066
2025-03-18,-0.25923675
2025-03-19,-0.27581975
2025-03-20,-0.29286286
2025-03-21,-0.31037408
2025-03-22,-0.32836196
2025-03-23,-0.34683597
2025-03-24,-0.36580637
2025-03-25,-0.3852832
