Date,LSTM_Forecast
2025-02-24,-1.4111544
2025-02-25,-1.6557324
2025-02-26,-2.0793464
2025-02-27,-2.6335955
2025-02-28,-3.2869782
2025-03-01,-4.021205
2025-03-02,-4.8269205
2025-03-03,-5.7002163
2025-03-04,-6.6407585
2025-03-05,-7.6486883
2025-03-06,-8.72586
2025-03-07,-9.874631
2025-03-08,-11.097757
2025-03-09,-12.398347
2025-03-10,-13.779864
2025-03-11,-15.271486
2025-03-12,-16.84612
2025-03-13,-18.514278
2025-03-14,-20.2835
2025-03-15,-22.159996
2025-03-16,-24.149551
2025-03-17,-26.258072
2025-03-18,-28.491762
2025-03-19,-30.857256
2025-03-20,-33.361645
2025-03-21,-36.01236
2025-03-22,-38.81736
2025-03-23,-41.784943
2025-03-24,-44.92391
2025-03-25,-48.24344
