Date,LSTM_Forecast
2025-02-24,6.4789133
2025-02-25,8.045517
2025-02-26,10.350309
2025-02-27,13.033537
2025-02-28,15.934054
2025-03-01,18.973288
2025-03-02,22.107111
2025-03-03,25.30626
2025-03-04,28.548426
2025-03-05,31.815239
2025-03-06,35.0909
2025-03-07,38.36176
2025-03-08,41.615925
2025-03-09,44.843124
2025-03-10,48.03449
2025-03-11,51.212708
2025-03-12,54.33797
2025-03-13,57.411533
2025-03-14,60.430275
2025-03-15,63.390198
2025-03-16,66.2875
2025-03-17,69.11888
2025-03-18,71.881454
2025-03-19,74.57281
2025-03-20,77.1909
2025-03-21,79.73411
2025-03-22,82.201065
2025-03-23,84.59079
2025-03-24,86.90251
2025-03-25,89.13576
