,predicted_mean
2025-02-24,6.266407734545854e-113
2025-02-25,7.071428671124891e-113
2025-02-26,7.496556870239345e-113
2025-02-27,8.715674466582139e-113
2025-02-28,9.355754492121082e-113
2025-03-01,1.0629556854424205e-112
2025-03-02,1.1196153877845786e-112
2025-03-03,1.157943272723591e-112
2025-03-04,1.2115372743662135e-112
2025-03-05,1.2473342954451275e-112
2025-03-06,1.284995209478254e-112
2025-03-07,1.3123692531284325e-112
2025-03-08,1.333139289594523e-112
2025-03-09,1.3544313287760188e-112
2025-03-10,1.3708280035022497e-112
2025-03-11,1.3852187529288842e-112
2025-03-12,1.397198395434363e-112
2025-03-13,1.4068476907893894e-112
2025-03-14,1.4155506925439404e-112
2025-03-15,1.422688187997519e-112
2025-03-16,1.4287122041444826e-112
2025-03-17,1.4338357994644169e-112
2025-03-18,1.4380816815978798e-112
2025-03-19,1.4417368932304755e-112
2025-03-20,1.4448005625950325e-112
2025-03-21,1.4473751639461648e-112
2025-03-22,1.4495608310890442e-112
2025-03-23,1.451393735443006e-112
2025-03-24,1.4529483436998117e-112
2025-03-25,1.454259077740223e-112
