Date,LSTM_Forecast
2025-02-24,44.375526
2025-02-25,60.806286
2025-02-26,82.53802
2025-02-27,105.61961
2025-02-28,128.30632
2025-03-01,149.7428
2025-03-02,169.56174
2025-03-03,187.72273
2025-03-04,204.40395
2025-03-05,219.90616
2025-03-06,234.567
2025-03-07,248.69354
2025-03-08,262.5187
2025-03-09,276.18103
2025-03-10,289.72595
2025-03-11,303.18658
2025-03-12,316.62643
2025-03-13,329.9889
2025-03-14,343.22464
2025-03-15,356.28702
2025-03-16,369.13522
2025-03-17,381.7392
2025-03-18,394.08032
2025-03-19,406.15164
2025-03-20,417.9555
2025-03-21,429.50116
2025-03-22,440.80222
2025-03-23,451.87415
2025-03-24,462.73218
2025-03-25,473.3893
