Date,LSTM_Forecast
2025-02-24,-0.3731222
2025-02-25,-0.45535082
2025-02-26,-0.58227396
2025-02-27,-0.7352926
2025-02-28,-0.90522146
2025-03-01,-1.0875324
2025-03-02,-1.2797782
2025-03-03,-1.4806623
2025-03-04,-1.6892412
2025-03-05,-1.9049674
2025-03-06,-2.1273544
2025-03-07,-2.3560228
2025-03-08,-2.5906367
2025-03-09,-2.8311014
2025-03-10,-3.0771582
2025-03-11,-3.3309271
2025-03-12,-3.5896719
2025-03-13,-3.85394
2025-03-14,-4.123848
2025-03-15,-4.399408
2025-03-16,-4.6806555
2025-03-17,-4.9675937
2025-03-18,-5.260267
2025-03-19,-5.558691
2025-03-20,-5.862936
2025-03-21,-6.173088
2025-03-22,-6.489164
2025-03-23,-6.811284
2025-03-24,-7.139548
2025-03-25,-7.473977
