Date,HW_Forecast
2025-02-24,9.465105049304249e-05
2025-02-25,1.2784145270485293e-05
2025-02-26,1.510884925699924e-05
2025-02-27,7.894888160825988e-06
2025-02-28,4.123423614618151e-06
2025-03-01,-2.50593743888784e-06
2025-03-02,1.5597706071752338e-07
2025-03-03,9.465105049304249e-05
2025-03-04,1.2784145270485293e-05
2025-03-05,1.510884925699924e-05
2025-03-06,7.894888160825988e-06
2025-03-07,4.123423614618151e-06
2025-03-08,-2.50593743888784e-06
2025-03-09,1.5597706071752338e-07
2025-03-10,9.465105049304249e-05
2025-03-11,1.2784145270485293e-05
2025-03-12,1.510884925699924e-05
2025-03-13,7.894888160825988e-06
2025-03-14,4.123423614618151e-06
2025-03-15,-2.50593743888784e-06
2025-03-16,1.5597706071752338e-07
2025-03-17,9.465105049304249e-05
2025-03-18,1.2784145270485293e-05
2025-03-19,1.510884925699924e-05
2025-03-20,7.894888160825988e-06
2025-03-21,4.123423614618151e-06
2025-03-22,-2.50593743888784e-06
2025-03-23,1.5597706071752338e-07
2025-03-24,9.465105049304249e-05
2025-03-25,1.2784145270485293e-05
