,predicted_mean
2025-02-24,-1.4529593763000505e-190
2025-02-25,-2.7896961133279073e-190
2025-02-26,-3.8845276463742287e-190
2025-02-27,-4.607031893278927e-190
2025-02-28,-5.197873487595826e-190
2025-03-01,-5.730804293714745e-190
2025-03-02,-6.176698027921182e-190
2025-03-03,-6.539036081779654e-190
2025-03-04,-6.834485415948582e-190
2025-03-05,-7.079097925145601e-190
2025-03-06,-7.282376899101394e-190
2025-03-07,-7.450370815672542e-190
2025-03-08,-7.588891732229186e-190
2025-03-09,-7.703235150493355e-190
2025-03-10,-7.797727235145662e-190
2025-03-11,-7.875813991909417e-190
2025-03-12,-7.940315229009391e-190
2025-03-13,-7.993588450789698e-190
2025-03-14,-8.037593569714909e-190
2025-03-15,-8.073945702744542e-190
2025-03-16,-8.103975189950905e-190
2025-03-17,-8.128780886822197e-190
2025-03-18,-8.149271446857459e-190
2025-03-19,-8.16619771131131e-190
2025-03-20,-8.180179740942675e-190
2025-03-21,-8.191729637997246e-190
2025-03-22,-8.201270442702639e-190
2025-03-23,-8.209151636947939e-190
2025-03-24,-8.215661913782379e-190
2025-03-25,-8.221039742307235e-190
