Date,HW_Forecast
2025-02-24,-5.4672537120717445e-06
2025-02-25,-3.099136898168832e-06
2025-02-26,-1.019158643914735e-06
2025-02-27,9.698723791936204e-07
2025-02-28,-5.296104828703753e-06
2025-03-01,-3.7242846289830417e-06
2025-03-02,1.5857001787864975e-07
2025-03-03,-5.4672537120717445e-06
2025-03-04,-3.099136898168832e-06
2025-03-05,-1.019158643914735e-06
2025-03-06,9.698723791936204e-07
2025-03-07,-5.296104828703753e-06
2025-03-08,-3.7242846289830417e-06
2025-03-09,1.5857001787864975e-07
2025-03-10,-5.4672537120717445e-06
2025-03-11,-3.099136898168832e-06
2025-03-12,-1.019158643914735e-06
2025-03-13,9.698723791936204e-07
2025-03-14,-5.296104828703753e-06
2025-03-15,-3.7242846289830417e-06
2025-03-16,1.5857001787864975e-07
2025-03-17,-5.4672537120717445e-06
2025-03-18,-3.099136898168832e-06
2025-03-19,-1.019158643914735e-06
2025-03-20,9.698723791936204e-07
2025-03-21,-5.296104828703753e-06
2025-03-22,-3.7242846289830417e-06
2025-03-23,1.5857001787864975e-07
2025-03-24,-5.4672537120717445e-06
2025-03-25,-3.099136898168832e-06
