Date,LSTM_Forecast
2025-02-24,-2.754177
2025-02-25,-3.2710125
2025-02-26,-4.187377
2025-02-27,-5.404635
2025-02-28,-6.855356
2025-03-01,-8.498843
2025-03-02,-10.313249
2025-03-03,-12.288251
2025-03-04,-14.419651
2025-03-05,-16.70609
2025-03-06,-19.14728
2025-03-07,-21.743176
2025-03-08,-24.49379
2025-03-09,-27.399197
2025-03-10,-30.459568
2025-03-11,-33.71538
2025-03-12,-37.105156
2025-03-13,-40.641994
2025-03-14,-44.330418
2025-03-15,-48.170517
2025-03-16,-52.1605
2025-03-17,-56.298023
2025-03-18,-60.580616
2025-03-19,-65.00594
2025-03-20,-69.57174
2025-03-21,-74.27575
2025-03-22,-79.11581
2025-03-23,-84.0897
2025-03-24,-89.19531
2025-03-25,-94.43059
