Date,LSTM_Forecast
2025-02-24,-0.019718114
2025-02-25,-0.02716919
2025-02-26,-0.037951834
2025-02-27,-0.05060868
2025-02-28,-0.06463603
2025-03-01,-0.07987802
2025-03-02,-0.096307285
2025-03-03,-0.11394586
2025-03-04,-0.13283652
2025-03-05,-0.15303262
2025-03-06,-0.17459358
2025-03-07,-0.19758238
2025-03-08,-0.22206514
2025-03-09,-0.24811053
2025-03-10,-0.2757902
2025-03-11,-0.30523857
2025-03-12,-0.33653003
2025-03-13,-0.36977786
2025-03-14,-0.4050989
2025-03-15,-0.44261682
2025-03-16,-0.48246375
2025-03-17,-0.5247795
2025-03-18,-0.5697128
2025-03-19,-0.61742175
2025-03-20,-0.6680729
2025-03-21,-0.72184384
2025-03-22,-0.7789217
2025-03-23,-0.8395048
2025-03-24,-0.9038028
2025-03-25,-0.9720372
