Date,LSTM_Forecast
2025-02-24,-12.540055
2025-02-25,-15.047133
2025-02-26,-19.952618
2025-02-27,-27.284178
2025-02-28,-37.25716
2025-03-01,-50.291393
2025-03-02,-67.02378
2025-03-03,-88.32648
2025-03-04,-115.337875
2025-03-05,-149.51181
2025-03-06,-192.68489
2025-03-07,-247.1653
2025-03-08,-315.84552
2025-03-09,-402.3398
2025-03-10,-511.1443
2025-03-11,-650.0029
2025-03-12,-824.0254
2025-03-13,-1042.0466
2025-03-14,-1314.3293
2025-03-15,-1652.4832
2025-03-16,-2069.0364
2025-03-17,-2576.4536
2025-03-18,-3185.2935
2025-03-19,-3901.0732
2025-03-20,-4719.5586
2025-03-21,-5621.1284
2025-03-22,-6567.2153
2025-03-23,-7503.6826
2025-03-24,-8373.391
2025-03-25,-9132.259
