Date,LSTM_Forecast
2025-02-24,42.182743
2025-02-25,56.37488
2025-02-26,75.41532
2025-02-27,96.04497
2025-02-28,116.96136
2025-03-01,137.56691
2025-03-02,157.56639
2025-03-03,176.82689
2025-03-04,195.31807
2025-03-05,213.07738
2025-03-06,230.18457
2025-03-07,246.7415
2025-03-08,262.8566
2025-03-09,278.63333
2025-03-10,294.1631
2025-03-11,309.20486
2025-03-12,323.9996
2025-03-13,338.52402
2025-03-14,352.7795
2025-03-15,366.76962
2025-03-16,380.4965
2025-03-17,393.96155
2025-03-18,407.16614
2025-03-19,420.11218
2025-03-20,432.80212
2025-03-21,445.23935
2025-03-22,457.42783
2025-03-23,469.37134
2025-03-24,481.07416
2025-03-25,492.54025
