Date,LSTM_Forecast
2025-02-24,-27.020422
2025-02-25,-39.238018
2025-02-26,-56.898113
2025-02-27,-77.10349
2025-02-28,-98.521935
2025-03-01,-120.47938
2025-03-02,-142.59227
2025-03-03,-164.62167
2025-03-04,-186.42757
2025-03-05,-207.90503
2025-03-06,-229.00609
2025-03-07,-249.71552
2025-03-08,-270.0427
2025-03-09,-290.01288
2025-03-10,-309.66077
2025-03-11,-328.726
2025-03-12,-347.41748
2025-03-13,-365.70996
2025-03-14,-383.60165
2025-03-15,-401.09818
2025-03-16,-418.20734
2025-03-17,-434.93744
2025-03-18,-451.29745
2025-03-19,-467.29565
2025-03-20,-482.94107
2025-03-21,-498.24188
2025-03-22,-513.2065
2025-03-23,-527.84247
2025-03-24,-542.1575
2025-03-25,-556.1577
