Date,LSTM_Forecast
2025-02-24,0.52728134
2025-02-25,0.7781382
2025-02-26,1.1472229
2025-02-27,1.5861841
2025-02-28,2.0750272
2025-03-01,2.603706
2025-03-02,3.1660953
2025-03-03,3.758094
2025-03-04,4.3769627
2025-03-05,5.0209756
2025-03-06,5.689134
2025-03-07,6.3809214
2025-03-08,7.096086
2025-03-09,7.834463
2025-03-10,8.59586
2025-03-11,9.382018
2025-03-12,10.193362
2025-03-13,11.030685
2025-03-14,11.894903
2025-03-15,12.786952
2025-03-16,13.70775
2025-03-17,14.658183
2025-03-18,15.639103
2025-03-19,16.65131
2025-03-20,17.695555
2025-03-21,18.772524
2025-03-22,19.882835
2025-03-23,21.027035
2025-03-24,22.205582
2025-03-25,23.418808
