Date,LSTM_Forecast
2025-02-24,3.5734167
2025-02-25,5.1347084
2025-02-26,7.3821216
2025-02-27,9.969807
2025-02-28,12.737039
2025-03-01,15.605666
2025-03-02,18.532572
2025-03-03,21.491217
2025-03-04,24.465008
2025-03-05,27.445608
2025-03-06,30.423931
2025-03-07,33.400307
2025-03-08,36.376137
2025-03-09,39.353306
2025-03-10,42.333668
2025-03-11,45.318275
2025-03-12,48.315083
2025-03-13,51.324917
2025-03-14,54.349907
2025-03-15,57.391922
2025-03-16,60.45216
2025-03-17,63.53137
2025-03-18,66.62975
2025-03-19,69.74721
2025-03-20,72.88326
2025-03-21,76.037254
2025-03-22,79.20831
2025-03-23,82.39542
2025-03-24,85.59743
2025-03-25,88.81308
