Date,LSTM_Forecast
2025-02-24,0.17257583
2025-02-25,0.22977442
2025-02-26,0.32387337
2025-02-27,0.44372302
2025-02-28,0.58386487
2025-03-01,0.74182093
2025-03-02,0.9164389
2025-03-03,1.1070586
2025-03-04,1.3131632
2025-03-05,1.5342697
2025-03-06,1.7699088
2025-03-07,2.019636
2025-03-08,2.2830338
2025-03-09,2.5597115
2025-03-10,2.8492906
2025-03-11,3.1480465
2025-03-12,3.4576213
2025-03-13,3.7764976
2025-03-14,4.1034017
2025-03-15,4.4371057
2025-03-16,4.776337
2025-03-17,5.119753
2025-03-18,5.465939
2025-03-19,5.813425
2025-03-20,6.160694
2025-03-21,6.506195
2025-03-22,6.848363
2025-03-23,7.1856346
2025-03-24,7.516459
2025-03-25,7.8393226
