Date,LSTM_Forecast
2025-02-24,-9.860148
2025-02-25,-11.521943
2025-02-26,-14.33813
2025-02-27,-17.934628
2025-02-28,-22.054094
2025-03-01,-26.527937
2025-03-02,-31.24896
2025-03-03,-36.14989
2025-03-04,-41.191143
2025-03-05,-46.340736
2025-03-06,-51.57988
2025-03-07,-56.89497
2025-03-08,-62.27614
2025-03-09,-67.71607
2025-03-10,-73.209755
2025-03-11,-78.97217
2025-03-12,-84.74504
2025-03-13,-90.56189
2025-03-14,-96.43826
2025-03-15,-102.37965
2025-03-16,-108.386505
2025-03-17,-114.45711
2025-03-18,-120.5889
2025-03-19,-126.779526
2025-03-20,-133.02654
2025-03-21,-139.32785
2025-03-22,-145.68152
2025-03-23,-152.0858
2025-03-24,-158.53908
2025-03-25,-165.03983
