,predicted_mean
2025-02-24,-8.305e-321
2025-02-25,-9.53e-321
2025-02-26,-1.091e-320
2025-02-27,-1.183e-320
2025-02-28,-1.2697e-320
2025-03-01,-1.3636e-320
2025-03-02,-1.442e-320
2025-03-03,-1.5123e-320
2025-03-04,-1.5805e-320
2025-03-05,-1.6423e-320
2025-03-06,-1.698e-320
2025-03-07,-1.7495e-320
2025-03-08,-1.797e-320
2025-03-09,-1.84e-320
2025-03-10,-1.8794e-320
2025-03-11,-1.916e-320
2025-03-12,-1.95e-320
2025-03-13,-1.981e-320
2025-03-14,-2.01e-320
2025-03-15,-2.0365e-320
2025-03-16,-2.061e-320
2025-03-17,-2.084e-320
2025-03-18,-2.1047e-320
2025-03-19,-2.1245e-320
2025-03-20,-2.1423e-320
2025-03-21,-2.1586e-320
2025-03-22,-2.173e-320
2025-03-23,-2.1867e-320
2025-03-24,-2.1996e-320
2025-03-25,-2.2114e-320
