,predicted_mean
2025-02-24,-3.1e-322
2025-02-25,-4e-322
2025-02-26,-3.9e-322
2025-02-27,-4.15e-322
2025-02-28,-4.8e-322
2025-03-01,-5.2e-322
2025-03-02,-5.4e-322
2025-03-03,-5.53e-322
2025-03-04,-5.7e-322
2025-03-05,-5.83e-322
2025-03-06,-5.9e-322
2025-03-07,-5.9e-322
2025-03-08,-5.9e-322
2025-03-09,-5.9e-322
2025-03-10,-5.9e-322
2025-03-11,-5.9e-322
2025-03-12,-5.9e-322
2025-03-13,-5.9e-322
2025-03-14,-5.9e-322
2025-03-15,-5.9e-322
2025-03-16,-5.9e-322
2025-03-17,-5.9e-322
2025-03-18,-5.9e-322
2025-03-19,-5.9e-322
2025-03-20,-5.9e-322
2025-03-21,-5.9e-322
2025-03-22,-5.9e-322
2025-03-23,-5.9e-322
2025-03-24,-5.9e-322
2025-03-25,-5.9e-322
