Date,HW_Forecast
2025-02-24,3.0957443203657946e-05
2025-02-25,1.7692307905887564e-05
2025-02-26,1.7286259902748974e-05
2025-02-27,1.7315648211331876e-05
2025-02-28,1.338247073070886e-05
2025-03-01,2.3528417614966682e-05
2025-03-02,-1.1798387916842662e-07
2025-03-03,3.0957443203657946e-05
2025-03-04,1.7692307905887564e-05
2025-03-05,1.7286259902748974e-05
2025-03-06,1.7315648211331876e-05
2025-03-07,1.338247073070886e-05
2025-03-08,2.3528417614966682e-05
2025-03-09,-1.1798387916842662e-07
2025-03-10,3.0957443203657946e-05
2025-03-11,1.7692307905887564e-05
2025-03-12,1.7286259902748974e-05
2025-03-13,1.7315648211331876e-05
2025-03-14,1.338247073070886e-05
2025-03-15,2.3528417614966682e-05
2025-03-16,-1.1798387916842662e-07
2025-03-17,3.0957443203657946e-05
2025-03-18,1.7692307905887564e-05
2025-03-19,1.7286259902748974e-05
2025-03-20,1.7315648211331876e-05
2025-03-21,1.338247073070886e-05
2025-03-22,2.3528417614966682e-05
2025-03-23,-1.1798387916842662e-07
2025-03-24,3.0957443203657946e-05
2025-03-25,1.7692307905887564e-05
