Date,LSTM_Forecast
2025-02-24,-2.652098
2025-02-25,-3.4429767
2025-02-26,-4.6749816
2025-02-27,-6.1773114
2025-02-28,-7.8689823
2025-03-01,-9.711941
2025-03-02,-11.68737
2025-03-03,-13.784866
2025-03-04,-15.9979515
2025-03-05,-18.3224
2025-03-06,-20.755613
2025-03-07,-23.296413
2025-03-08,-25.944809
2025-03-09,-28.701918
2025-03-10,-31.569752
2025-03-11,-34.531788
2025-03-12,-37.59974
2025-03-13,-40.773094
2025-03-14,-44.052185
2025-03-15,-47.43797
2025-03-16,-50.93182
2025-03-17,-54.535385
2025-03-18,-58.250618
2025-03-19,-62.079647
2025-03-20,-66.02481
2025-03-21,-70.08862
2025-03-22,-74.27377
2025-03-23,-78.58311
2025-03-24,-83.0196
2025-03-25,-87.58632
