Date,LSTM_Forecast
2025-02-24,-0.0215898
2025-02-25,-0.030673811
2025-02-26,-0.042791873
2025-02-27,-0.05595883
2025-02-28,-0.06936018
2025-03-01,-0.08259553
2025-03-02,-0.095454365
2025-03-03,-0.1078318
2025-03-04,-0.11969004
2025-03-05,-0.13103235
2025-03-06,-0.141884
2025-03-07,-0.15228043
2025-03-08,-0.1622586
2025-03-09,-0.17185174
2025-03-10,-0.18108821
2025-03-11,-0.18998343
2025-03-12,-0.19857772
2025-03-13,-0.20688474
2025-03-14,-0.21491884
2025-03-15,-0.22269277
2025-03-16,-0.230217
2025-03-17,-0.23750083
2025-03-18,-0.24455187
2025-03-19,-0.25137773
2025-03-20,-0.25798506
2025-03-21,-0.26438066
2025-03-22,-0.27057055
2025-03-23,-0.27656162
2025-03-24,-0.2823594
2025-03-25,-0.28797048
