,predicted_mean
2025-02-24,-2.78712309054043e-38
2025-02-25,1.096430070956305e-37
2025-02-26,1.3957818814422557e-38
2025-02-27,-9.224367763263091e-38
2025-02-28,-9.724034394670768e-38
2025-03-01,-1.0254798045584925e-37
2025-03-02,-8.789762541456442e-38
2025-03-03,-1.1832652749463165e-37
2025-03-04,-1.3272896810977588e-37
2025-03-05,-1.3690913257372909e-37
2025-03-06,-1.3796758581042707e-37
2025-03-07,-1.3895055651218415e-37
2025-03-08,-1.4595897498044336e-37
2025-03-09,-1.4838685218698774e-37
2025-03-10,-1.4997572355449502e-37
2025-03-11,-1.5044832985552766e-37
2025-03-12,-1.5152171073665324e-37
2025-03-13,-1.5298848777401464e-37
2025-03-14,-1.535861819100956e-37
2025-03-15,-1.5406462211436143e-37
2025-03-16,-1.5429525513343116e-37
2025-03-17,-1.5468280320955208e-37
2025-03-18,-1.5500053962998892e-37
2025-03-19,-1.5517856877314858e-37
2025-03-20,-1.5531465583795812e-37
2025-03-21,-1.5540704909426068e-37
2025-03-22,-1.5551905744605635e-37
2025-03-23,-1.5559591764181894e-37
2025-03-24,-1.5564969089711708e-37
2025-03-25,-1.5568893859791172e-37
