Date,HW_Forecast
2025-02-24,9.849868856250178e-06
2025-02-25,-5.180642178944925e-05
2025-02-26,-2.1741409793010526e-06
2025-02-27,8.010223505672286e-06
2025-02-28,-5.323920790922075e-06
2025-03-01,4.663596360409477e-06
2025-03-02,-2.3190812170103875e-08
2025-03-03,9.849868856250178e-06
2025-03-04,-5.180642178944925e-05
2025-03-05,-2.1741409793010526e-06
2025-03-06,8.010223505672286e-06
2025-03-07,-5.323920790922075e-06
2025-03-08,4.663596360409477e-06
2025-03-09,-2.3190812170103875e-08
2025-03-10,9.849868856250178e-06
2025-03-11,-5.180642178944925e-05
2025-03-12,-2.1741409793010526e-06
2025-03-13,8.010223505672286e-06
2025-03-14,-5.323920790922075e-06
2025-03-15,4.663596360409477e-06
2025-03-16,-2.3190812170103875e-08
2025-03-17,9.849868856250178e-06
2025-03-18,-5.180642178944925e-05
2025-03-19,-2.1741409793010526e-06
2025-03-20,8.010223505672286e-06
2025-03-21,-5.323920790922075e-06
2025-03-22,4.663596360409477e-06
2025-03-23,-2.3190812170103875e-08
2025-03-24,9.849868856250178e-06
2025-03-25,-5.180642178944925e-05
