Date,LSTM_Forecast
2025-02-24,-1.3575777
2025-02-25,-1.713548
2025-02-26,-2.3880353
2025-02-27,-3.368404
2025-02-28,-4.674132
2025-03-01,-6.353779
2025-03-02,-8.482038
2025-03-03,-11.157783
2025-03-04,-14.50836
2025-03-05,-18.691822
2025-03-06,-23.903847
2025-03-07,-30.386898
2025-03-08,-38.44067
2025-03-09,-48.435932
2025-03-10,-60.832016
2025-03-11,-76.28082
2025-03-12,-95.39804
2025-03-13,-119.089165
2025-03-14,-148.4598
2025-03-15,-184.87657
2025-03-16,-230.03748
2025-03-17,-286.0578
2025-03-18,-355.57855
2025-03-19,-441.90146
2025-03-20,-549.16315
2025-03-21,-682.5551
2025-03-22,-848.60345
2025-03-23,-1055.5247
2025-03-24,-1313.6652
2025-03-25,-1636.0353
