Date,LSTM_Forecast
2025-02-24,-0.23570263
2025-02-25,-0.30475667
2025-02-26,-0.39865193
2025-02-27,-0.50071245
2025-02-28,-0.6042279
2025-03-01,-0.7064669
2025-03-02,-0.8064396
2025-03-03,-0.90400493
2025-03-04,-0.9994563
2025-03-05,-1.0932957
2025-03-06,-1.186095
2025-03-07,-1.2784082
2025-03-08,-1.3707222
2025-03-09,-1.4634312
2025-03-10,-1.5568305
2025-03-11,-1.649256
2025-03-12,-1.7420863
2025-03-13,-1.835059
2025-03-14,-1.9280808
2025-03-15,-2.0211086
2025-03-16,-2.1141133
2025-03-17,-2.207079
2025-03-18,-2.299996
2025-03-19,-2.3928623
2025-03-20,-2.485681
2025-03-21,-2.578455
2025-03-22,-2.6711905
2025-03-23,-2.7638903
2025-03-24,-2.856557
2025-03-25,-2.9491887
