,predicted_mean
2025-02-24,-0.004739748253291201
2025-02-25,-0.00827926298311412
2025-02-26,-0.012269579945636022
2025-02-27,-0.015100696824216879
2025-02-28,-0.017804211634563027
2025-03-01,-0.020594297029992804
2025-03-02,-0.022961462270155455
2025-03-03,-0.025258576955715935
2025-03-04,-0.02741087052222902
2025-03-05,-0.029327047121965488
2025-03-06,-0.031143104728106285
2025-03-07,-0.03281629874472487
2025-03-08,-0.034349470214811835
2025-03-09,-0.03578435399860389
2025-03-10,-0.03710543942996195
2025-03-11,-0.03832587550384893
2025-03-12,-0.03945941379031264
2025-03-13,-0.04050507522160138
2025-03-14,-0.04147296249033304
2025-03-15,-0.042369378954008816
2025-03-16,-0.04319767474739547
2025-03-17,-0.04396442419902753
2025-03-18,-0.044673891908289076
2025-03-19,-0.04532997446247603
2025-03-20,-0.04593715285186419
2025-03-21,-0.04649885425655493
2025-03-22,-0.047018457831436655
2025-03-23,-0.047499241693142014
2025-03-24,-0.047944014231086976
2025-03-25,-0.048355494236814824
