Date,LSTM_Forecast
2025-02-24,1.5846288
2025-02-25,1.9872596
2025-02-26,2.6670048
2025-02-27,3.5496078
2025-02-28,4.5970826
2025-03-01,5.792212
2025-03-02,7.128936
2025-03-03,8.606944
2025-03-04,10.228884
2025-03-05,11.999112
2025-03-06,13.923316
2025-03-07,16.008438
2025-03-08,18.262774
2025-03-09,20.696043
2025-03-10,23.319447
2025-03-11,26.121881
2025-03-12,29.116724
2025-03-13,32.312035
2025-03-14,35.71403
2025-03-15,39.328133
2025-03-16,43.15917
2025-03-17,47.211258
2025-03-18,51.48755
2025-03-19,55.989872
2025-03-20,60.718395
2025-03-21,65.67114
2025-03-22,70.84355
2025-03-23,76.227875
2025-03-24,81.81255
2025-03-25,87.5816
