Date,LSTM_Forecast
2025-02-24,0.902965
2025-02-25,1.078263
2025-02-26,1.3842936
2025-02-27,1.789889
2025-02-28,2.2749202
2025-03-01,2.8273964
2025-03-02,3.4406085
2025-03-03,4.1108356
2025-03-04,4.8359375
2025-03-05,5.614464
2025-03-06,6.4452233
2025-03-07,7.3270082
2025-03-08,8.258654
2025-03-09,9.238922
2025-03-10,10.266552
2025-03-11,11.360435
2025-03-12,12.491106
2025-03-13,13.662394
2025-03-14,14.874492
2025-03-15,16.12578
2025-03-16,17.413668
2025-03-17,18.73522
2025-03-18,20.08719
2025-03-19,21.466274
2025-03-20,22.86898
2025-03-21,24.291733
2025-03-22,25.730743
2025-03-23,27.18218
2025-03-24,28.641987
2025-03-25,30.106031
