Date,LSTM_Forecast
2025-02-24,-26.4671
2025-02-25,-33.603786
2025-02-26,-45.363052
2025-02-27,-60.285984
2025-02-28,-77.61459
2025-03-01,-96.99134
2025-03-02,-118.2649
2025-03-03,-141.38176
2025-03-04,-166.33391
2025-03-05,-193.1359
2025-03-06,-221.81712
2025-03-07,-252.41895
2025-03-08,-284.99384
2025-03-09,-319.60422
2025-03-10,-356.32095
2025-03-11,-394.9801
2025-03-12,-435.7325
2025-03-13,-478.6217
2025-03-14,-523.6849
2025-03-15,-570.9594
2025-03-16,-620.4847
2025-03-17,-672.30084
2025-03-18,-726.4483
2025-03-19,-782.9669
2025-03-20,-841.8951
2025-03-21,-903.26953
2025-03-22,-967.1246
2025-03-23,-1033.4905
2025-03-24,-1102.3944
2025-03-25,-1173.859
