Date,LSTM_Forecast
2025-02-24,-0.797481
2025-02-25,-0.95733386
2025-02-26,-1.2155834
2025-02-27,-1.5367777
2025-02-28,-1.9013373
2025-03-01,-2.298614
2025-03-02,-2.7227418
2025-03-03,-3.170251
2025-03-04,-3.6388469
2025-03-05,-4.126818
2025-03-06,-4.6327558
2025-03-07,-5.155474
2025-03-08,-5.693953
2025-03-09,-6.247315
2025-03-10,-6.81486
2025-03-11,-7.4051814
2025-03-12,-8.006871
2025-03-13,-8.621668
2025-03-14,-9.250006
2025-03-15,-9.8918
2025-03-16,-10.546824
2025-03-17,-11.214847
2025-03-18,-11.895665
2025-03-19,-12.589127
2025-03-20,-13.29511
2025-03-21,-14.01354
2025-03-22,-14.744368
2025-03-23,-15.487567
2025-03-24,-16.24314
2025-03-25,-17.011105
