Date,LSTM_Forecast
2025-02-24,-0.56258106
2025-02-25,-0.7163708
2025-02-26,-0.98292255
2025-02-27,-1.3376712
2025-02-28,-1.7687249
2025-03-01,-2.2724493
2025-03-02,-2.8500178
2025-03-03,-3.5052047
2025-03-04,-4.243273
2025-03-05,-5.0704246
2025-03-06,-5.993672
2025-03-07,-7.0208273
2025-03-08,-8.160618
2025-03-09,-9.422767
2025-03-10,-10.818143
2025-03-11,-12.350347
2025-03-12,-14.033328
2025-03-13,-15.87961
2025-03-14,-17.902151
2025-03-15,-20.114904
2025-03-16,-22.533117
2025-03-17,-25.173489
2025-03-18,-28.054264
2025-03-19,-31.195423
2025-03-20,-34.618843
2025-03-21,-38.34843
2025-03-22,-42.41043
2025-03-23,-46.83358
2025-03-24,-51.64945
2025-03-25,-56.892704
