Date,LSTM_Forecast
2025-02-24,0.23931895
2025-02-25,0.29818994
2025-02-26,0.39736626
2025-02-27,0.5250137
2025-02-28,0.67438906
2025-03-01,0.84201944
2025-03-02,1.0263331
2025-03-03,1.2267357
2025-03-04,1.4431579
2025-03-05,1.6757962
2025-03-06,1.9250375
2025-03-07,2.1914146
2025-03-08,2.475612
2025-03-09,2.7784703
2025-03-10,3.100975
2025-03-11,3.4409258
2025-03-12,3.8004098
2025-03-13,4.1801004
2025-03-14,4.580602
2025-03-15,5.0025535
2025-03-16,5.4466577
2025-03-17,5.913683
2025-03-18,6.404477
2025-03-19,6.9199333
2025-03-20,7.46102
2025-03-21,8.028743
2025-03-22,8.624185
2025-03-23,9.248474
2025-03-24,9.902787
2025-03-25,10.588355
