Date,HW_Forecast
2025-02-24,7.36443964431233e-07
2025-02-25,1.1002467222610834e-06
2025-02-26,1.0225231936869561e-06
2025-02-27,7.32713026507151e-07
2025-02-28,1.8895197611808113e-07
2025-03-01,-3.1381019520580285e-07
2025-03-02,4.676258837620073e-15
2025-03-03,7.36443964431233e-07
2025-03-04,1.1002467222610834e-06
2025-03-05,1.0225231936869561e-06
2025-03-06,7.32713026507151e-07
2025-03-07,1.8895197611808113e-07
2025-03-08,-3.1381019520580285e-07
2025-03-09,4.676258837620073e-15
2025-03-10,7.36443964431233e-07
2025-03-11,1.1002467222610834e-06
2025-03-12,1.0225231936869561e-06
2025-03-13,7.32713026507151e-07
2025-03-14,1.8895197611808113e-07
2025-03-15,-3.1381019520580285e-07
2025-03-16,4.676258837620073e-15
2025-03-17,7.36443964431233e-07
2025-03-18,1.1002467222610834e-06
2025-03-19,1.0225231936869561e-06
2025-03-20,7.32713026507151e-07
2025-03-21,1.8895197611808113e-07
2025-03-22,-3.1381019520580285e-07
2025-03-23,4.676258837620073e-15
2025-03-24,7.36443964431233e-07
2025-03-25,1.1002467222610834e-06
