Date,LSTM_Forecast
2025-02-24,0.022221344
2025-02-25,0.02977568
2025-02-26,0.04105052
2025-02-27,0.05434686
2025-02-28,0.068915084
2025-03-01,0.08441811
2025-03-02,0.10069335
2025-03-03,0.11765263
2025-03-04,0.13524096
2025-03-05,0.15341982
2025-03-06,0.17216039
2025-03-07,0.19144008
2025-03-08,0.2112408
2025-03-09,0.23154724
2025-03-10,0.2523454
2025-03-11,0.2735996
2025-03-12,0.29533958
2025-03-13,0.3175573
2025-03-14,0.34025186
2025-03-15,0.3634261
2025-03-16,0.38708475
2025-03-17,0.41123393
2025-03-18,0.43588054
2025-03-19,0.46103254
2025-03-20,0.48669827
2025-03-21,0.5128872
2025-03-22,0.539609
2025-03-23,0.566874
2025-03-24,0.5946933
2025-03-25,0.6230778
