Date,LSTM_Forecast
2025-02-24,0.022051537
2025-02-25,0.028292105
2025-02-26,0.037807107
2025-02-27,0.04925542
2025-02-28,0.062019344
2025-03-01,0.07579579
2025-03-02,0.090413556
2025-03-03,0.10575706
2025-03-04,0.1217398
2025-03-05,0.1382837
2025-03-06,0.1553233
2025-03-07,0.17280294
2025-03-08,0.1906759
2025-03-09,0.2089028
2025-03-10,0.22745171
2025-03-11,0.24619278
2025-03-12,0.26513606
2025-03-13,0.28424105
2025-03-14,0.3034704
2025-03-15,0.32279035
2025-03-16,0.3421704
2025-03-17,0.36158252
2025-03-18,0.38100114
2025-03-19,0.40040302
2025-03-20,0.4197664
2025-03-21,0.43907166
2025-03-22,0.45830044
2025-03-23,0.477436
2025-03-24,0.49646255
2025-03-25,0.5153659
