Date,LSTM_Forecast
2025-02-24,0.0042073326
2025-02-25,0.0030650257
2025-02-26,0.0012822563
2025-02-27,-0.00089638046
2025-02-28,-0.0033378298
2025-03-01,-0.0059673544
2025-03-02,-0.008745154
2025-03-03,-0.011647783
2025-03-04,-0.014662218
2025-03-05,-0.017777035
2025-03-06,-0.02098474
2025-03-07,-0.024278374
2025-03-08,-0.027655205
2025-03-09,-0.031113435
2025-03-10,-0.03465333
2025-03-11,-0.038258765
2025-03-12,-0.04192169
2025-03-13,-0.04564503
2025-03-14,-0.049426384
2025-03-15,-0.053263564
2025-03-16,-0.057152897
2025-03-17,-0.061094187
2025-03-18,-0.065082505
2025-03-19,-0.06911904
2025-03-20,-0.07320215
2025-03-21,-0.07733088
2025-03-22,-0.08150405
2025-03-23,-0.08572077
2025-03-24,-0.08998246
2025-03-25,-0.094285645
