Date,LSTM_Forecast
2025-02-24,-2.5579581
2025-02-25,-4.8680906
2025-02-26,-8.396134
2025-02-27,-12.638428
2025-02-28,-17.342241
2025-03-01,-22.375599
2025-03-02,-27.664787
2025-03-03,-33.16441
2025-03-04,-38.878803
2025-03-05,-44.741085
2025-03-06,-50.736515
2025-03-07,-56.850887
2025-03-08,-63.07114
2025-03-09,-69.38569
2025-03-10,-75.784515
2025-03-11,-82.40656
2025-03-12,-89.09493
2025-03-13,-95.87106
2025-03-14,-102.74104
2025-03-15,-109.70548
2025-03-16,-116.76338
2025-03-17,-123.91344
2025-03-18,-131.15456
2025-03-19,-138.48639
2025-03-20,-145.90822
2025-03-21,-153.4197
2025-03-22,-161.0206
2025-03-23,-168.71101
2025-03-24,-176.49097
2025-03-25,-184.36067
