Date,LSTM_Forecast
2025-02-24,-0.03146851
2025-02-25,-0.04393755
2025-02-26,-0.06146622
2025-02-27,-0.081481725
2025-02-28,-0.103100844
2025-03-01,-0.12601916
2025-03-02,-0.15013131
2025-03-03,-0.17540282
2025-03-04,-0.20187475
2025-03-05,-0.22951305
2025-03-06,-0.25833848
2025-03-07,-0.2883709
2025-03-08,-0.31963104
2025-03-09,-0.35214058
2025-03-10,-0.38592252
2025-03-11,-0.4211061
2025-03-12,-0.45765954
2025-03-13,-0.49564326
2025-03-14,-0.5351088
2025-03-15,-0.5761067
2025-03-16,-0.618689
2025-03-17,-0.6629096
2025-03-18,-0.70882446
2025-03-19,-0.7564908
2025-03-20,-0.8059674
2025-03-21,-0.8573153
2025-03-22,-0.91059613
2025-03-23,-0.9658731
2025-03-24,-1.0232116
2025-03-25,-1.0826769
