Date,LSTM_Forecast
2025-02-24,-0.004785086
2025-02-25,-0.006306895
2025-02-26,-0.008795047
2025-02-27,-0.0119099645
2025-02-28,-0.015461481
2025-03-01,-0.019344158
2025-03-02,-0.023495542
2025-03-03,-0.02787349
2025-03-04,-0.032446325
2025-03-05,-0.03718857
2025-03-06,-0.04208131
2025-03-07,-0.047110483
2025-03-08,-0.05226781
2025-03-09,-0.057549987
2025-03-10,-0.06295813
2025-03-11,-0.06838893
2025-03-12,-0.07392653
2025-03-13,-0.0795481
2025-03-14,-0.08524398
2025-03-15,-0.09101071
2025-03-16,-0.096846476
2025-03-17,-0.102750726
2025-03-18,-0.10872345
2025-03-19,-0.11476475
2025-03-20,-0.120874904
2025-03-21,-0.12705463
2025-03-22,-0.13330473
2025-03-23,-0.13962573
2025-03-24,-0.14601834
2025-03-25,-0.15248255
